TimeWindow  Iteration  ResRel(Displacement)  ResRel(Force)  
     1       1   1.00000000e+00   1.00000000e+00  
     1       2   9.78224154e-01   5.00012961e-01  
     1       3   5.64505441e-01   9.90014465e-04  
     1       4   1.52216130e-04   1.07589322e-03  
     2       1   7.88570927e-01   2.92624442e+00  
     2       2   4.16459629e-02   5.69192711e-03  
     2       3   4.51883460e-04   5.08120048e-04  
     3       1   5.28548288e-01   4.99644672e-01  
     3       2   3.43957409e-03   1.38749661e-02  
     3       3   1.50261826e-04   2.89572308e-04  
     4       1   3.65820620e-01   1.27679956e-01  
     4       2   3.41360107e-04   1.72482596e-02  
     4       3   2.63216545e-05   2.55810847e-04  
     5       1   2.79210954e-01   7.28426396e-02  
     5       2   9.01012594e-05   5.40907340e-03  
     5       3   9.93135189e-06   1.73856809e-04  
     6       1   2.22760172e-01   5.03128208e-02  
     6       2   1.08838777e-05   1.95917121e-03  
     7       1   1.81555725e-01   4.18273747e-02  
     7       2   6.43921862e-06   3.30878416e-03  
     8       1   1.51347310e-01   4.00887237e-02  
     8       2   7.12166969e-06   1.90794380e-03  
     9       1   1.28522162e-01   4.07265110e-02  
     9       2   7.02441870e-06   5.21028943e-03  
     9       3   7.83665797e-06   9.01277406e-05  
    10       1   1.22415236e-01   4.09851232e-02  
    10       2   8.12500582e-06   3.59847622e-03  
    11       1   1.22867654e-01   4.17684192e-02  
    11       2   5.64525091e-06   2.27658364e-03  
    12       1   1.13688522e-01   4.00846823e-02  
    12       2   8.87386855e-06   2.22354608e-03  
    13       1   1.02482686e-01   3.90155898e-02  
    13       2   2.68137109e-06   1.97439290e-03  
    14       1   9.74785585e-02   3.65126259e-02  
    14       2   1.79937834e-06   1.37994165e-03  
    15       1   9.31619072e-02   3.43228357e-02  
    15       2   1.87399352e-06   2.81944005e-03  
    16       1   8.77506605e-02   2.87639899e-02  
    16       2   1.71423389e-06   3.66459695e-03  
    17       1   8.50838382e-02   2.37226290e-02  
    17       2   1.64282471e-06   1.94261890e-03  
    18       1   8.17266973e-02   2.24406925e-02  
    18       2   8.18029388e-07   9.92411506e-04  
    19       1   7.46124006e-02   2.44790210e-02  
    19       2   5.40055932e-07   1.82706591e-03  
    20       1   6.79665529e-02   3.01742169e-02  
    20       2   1.00090566e-06   1.62204243e-03  
    21       1   6.31098276e-02   3.61952609e-02  
    21       2   1.53829014e-06   2.15927674e-03  
    22       1   5.87240876e-02   3.80711292e-02  
    22       2   1.41710005e-06   1.96804972e-03  
    23       1   5.46769319e-02   3.90503162e-02  
    23       2   1.87009500e-06   2.02475295e-03  
    24       1   4.85428824e-02   4.20964778e-02  
    24       2   3.14999747e-06   1.46140688e-03  
    25       1   3.89018009e-02   4.46193772e-02  
    25       2   2.03093693e-06   1.23481144e-03  
    26       1   3.31417995e-02   4.25697724e-02  
    26       2   2.18902733e-06   3.09704056e-03  
    27       1   3.21927659e-02   4.38093634e-02  
    27       2   1.07252233e-06   1.00021955e-03  
    28       1   3.21924875e-02   4.54469000e-02  
    28       2   4.44838612e-06   9.86113577e-04  
    29       1   3.21626065e-02   4.67879282e-02  
    29       2   1.24274849e-06   1.23075980e-03  
    30       1   3.16393941e-02   4.50010965e-02  
    30       2   1.60764986e-06   3.78411074e-03  
    31       1   3.07117669e-02   4.87952655e-02  
    31       2   1.91641897e-06   1.28297288e-03  
    32       1   3.00739993e-02   5.35777232e-02  
    32       2   1.19295778e-06   3.00793420e-03  
    33       1   2.93938400e-02   5.79527212e-02  
    33       2   1.01126042e-06   8.50106992e-04  
    34       1   2.66861354e-02   5.67419958e-02  
    34       2   1.10222278e-06   1.06333831e-03  
    35       1   2.32614133e-02   4.87246060e-02  
    35       2   1.09609983e-06   7.96312465e-04  
    36       1   2.03132585e-02   3.60951734e-02  
    36       2   1.45251456e-06   5.77187159e-04  
    37       1   1.76860984e-02   2.62695125e-02  
    37       2   8.83671441e-07   1.00851125e-03  
    38       1   1.55252382e-02   2.22538682e-02  
    38       2   9.48916137e-07   1.92588881e-03  
    39       1   1.48095667e-02   1.63698188e-02  
    39       2   2.19636127e-06   7.50225491e-04  
    40       1   1.42235431e-02   1.19424380e-02  
    40       2   1.32555780e-06   2.11522016e-03  
    41       1   1.62128448e-02   8.39069318e-03  
    41       2   4.94772910e-07   2.60962390e-03  
    42       1   2.12916690e-02   9.06553823e-03  
    42       2   7.06385714e-07   1.39748790e-03  
    43       1   2.45073604e-02   1.01595101e-02  
    43       2   7.93603814e-07   1.49379193e-03  
    44       1   2.43710111e-02   1.18621782e-02  
    44       2   1.41407155e-06   1.63419639e-03  
    45       1   2.26270338e-02   1.28789707e-02  
    45       2   1.10842498e-06   1.46515199e-03  
    46       1   2.09748383e-02   1.24731804e-02  
    46       2   3.34809522e-07   9.31732327e-04  
    47       1   1.93110729e-02   1.36049528e-02  
    47       2   8.44572657e-07   4.22587254e-03  
    48       1   1.69947962e-02   2.09581085e-02  
    48       2   1.27844542e-06   1.15368455e-03  
    49       1   1.45025300e-02   2.63664451e-02  
    49       2   1.02840740e-06   2.53966502e-03  
    50       1   1.09880175e-02   2.36221988e-02  
    50       2   7.24156690e-07   7.41941871e-04  
    51       1   7.58478143e-03   1.44330157e-02  
    51       2   6.52060110e-07   2.32572995e-03  
    52       1   5.54719450e-03   6.35135236e-03  
    52       2   6.92788960e-07   8.76873307e-04  
    53       1   6.87222845e-03   5.05800939e-03  
    53       2   6.20609986e-07   2.88806646e-03  
    54       1   1.03599624e-02   6.69902372e-03  
    54       2   5.47843941e-07   1.86411681e-03  
    55       1   1.37931861e-02   8.78378115e-03  
    55       2   6.88217389e-07   1.39110131e-03  
    56       1   1.64761010e-02   1.12908441e-02  
    56       2   1.00782676e-06   1.78915627e-03  
    57       1   2.20791866e-02   1.31515494e-02  
    57       2   6.62848885e-07   2.11743366e-03  
    58       1   2.76155607e-02   1.32219659e-02  
    58       2   5.74226284e-07   4.27965959e-03  
    59       1   2.92757181e-02   1.29733026e-02  
    59       2   4.64411030e-07   7.12033618e-04  
    60       1   2.97736678e-02   1.40748703e-02  
    60       2   7.51374859e-07   3.06378451e-03  
    61       1   2.93489481e-02   1.61321132e-02  
    61       2   1.06580429e-06   2.26837548e-03  
    62       1   2.72571507e-02   1.84770315e-02  
    62       2   7.28322530e-07   2.34149281e-03  
    63       1   2.58223601e-02   1.93105541e-02  
    63       2   1.16475446e-06   2.34155148e-03  
    64       1   2.51011443e-02   1.67518413e-02  
    64       2   1.20378273e-06   2.18757508e-03  
    65       1   2.34085293e-02   1.76003774e-02  
    65       2   5.93299947e-07   2.96914154e-03  
    66       1   2.27308010e-02   2.20648683e-02  
    66       2   1.22291851e-06   4.57288145e-03  
    67       1   2.39215802e-02   3.36839256e-02  
    67       2   2.33558671e-06   2.19118745e-03  
    68       1   2.60751087e-02   4.40870871e-02  
    68       2   1.05901989e-06   4.15329491e-04  
    69       1   2.96257768e-02   5.02556080e-02  
    69       2   1.33765843e-06   1.71604976e-03  
    70       1   3.49170486e-02   5.52130097e-02  
    70       2   1.82799859e-06   1.29040467e-03  
    71       1   3.91420662e-02   6.12343728e-02  
    71       2   1.33310227e-06   1.96979486e-03  
    72       1   4.01742827e-02   6.55665258e-02  
    72       2   1.19215043e-06   8.22360070e-04  
    73       1   4.10327957e-02   6.57178443e-02  
    73       2   1.92239661e-06   1.57787510e-03  
    74       1   4.30989164e-02   6.35140371e-02  
    74       2   1.79590335e-06   5.60710429e-04  
    75       1   4.44542273e-02   5.88340340e-02  
    75       2   1.86780933e-06   8.76041012e-04  
    76       1   4.64918575e-02   5.24538289e-02  
    76       2   1.91692903e-06   1.73650155e-03  
    77       1   4.77324116e-02   4.97386496e-02  
    77       2   2.24182261e-06   8.11970101e-04  
    78       1   4.90641584e-02   4.80242520e-02  
    78       2   2.28690888e-06   1.92589389e-03  
    79       1   5.30818244e-02   4.82906649e-02  
    79       2   2.19937484e-06   1.69191025e-03  
    80       1   6.18426668e-02   5.12954521e-02  
    80       2   2.65460893e-06   1.88966174e-03  
    81       1   7.25115557e-02   5.47485802e-02  
    81       2   3.72566699e-06   5.12180220e-03  
    81       3   3.31978134e-06   1.64438043e-03  
    82       1   8.42243767e-02   4.78776676e-02  
    82       2   3.27459496e-06   1.50244870e-03  
    83       1   9.66872930e-02   3.96493819e-02  
    83       2   2.40410187e-06   1.69365754e-03  
    84       1   1.06015620e-01   3.54303018e-02  
    84       2   3.57892276e-06   1.01562027e-03  
    85       1   1.14687505e-01   3.52107770e-02  
    85       2   2.06662746e-06   1.67486937e-03  
    86       1   1.26320895e-01   3.37470993e-02  
    86       2   2.63563339e-06   1.27359481e-03  
    87       1   1.38884435e-01   3.18610480e-02  
    87       2   2.30111606e-06   6.74125714e-04  
    88       1   1.55233237e-01   3.17671012e-02  
    88       2   2.27783144e-06   1.46116044e-03  
    89       1   1.81286236e-01   3.41248769e-02  
    89       2   2.29919157e-06   8.99911755e-04  
    90       1   2.01841444e-01   4.06082115e-02  
    90       2   7.11915944e-06   1.57338764e-03  
    91       1   2.05169844e-01   4.65776468e-02  
    91       2   8.26421634e-06   1.80593606e-03  
    92       1   2.08681263e-01   5.40114659e-02  
    92       2   5.47455290e-06   8.23017663e-04  
    93       1   2.19037858e-01   5.81266067e-02  
    93       2   9.16346843e-06   1.57930494e-03  
    94       1   2.23310669e-01   6.12823204e-02  
    94       2   1.26482869e-05   1.34615450e-03  
    95       1   2.24904760e-01   5.83821312e-02  
    95       2   7.61369148e-06   1.60873280e-03  
    96       1   2.34636972e-01   5.56915950e-02  
    96       2   9.46590189e-06   6.12263856e-04  
    97       1   2.45387920e-01   5.48383311e-02  
    97       2   8.84143774e-06   1.44089408e-03  
    98       1   2.50079777e-01   6.01400849e-02  
    98       2   1.26483364e-05   8.90136054e-04  
    99       1   2.40092110e-01   6.61460334e-02  
    99       2   9.16887632e-06   1.02444370e-03  
   100       1   2.16272128e-01   6.98242287e-02  
   100       2   1.38105805e-05   1.16213152e-03  
   101       1   1.94092813e-01   6.75248800e-02  
   101       2   5.45520220e-06   5.65675946e-04  
   102       1   1.71052115e-01   6.50835605e-02  
   102       2   4.98487127e-06   1.84346972e-03  
   103       1   1.44283963e-01   6.78532778e-02  
   103       2   4.48312094e-06   6.53711884e-04  
   104       1   1.18193290e-01   6.59647276e-02  
   104       2   5.58295420e-06   1.50314741e-03  
   105       1   9.89376239e-02   5.68016031e-02  
   105       2   3.39660814e-06   4.82269929e-04  
   106       1   8.55528090e-02   4.62765370e-02  
   106       2   7.61657978e-06   1.20635729e-03  
   107       1   8.14262510e-02   3.77940626e-02  
   107       2   5.41549666e-06   8.30285512e-04  
   108       1   7.96914969e-02   2.94720152e-02  
   108       2   2.35040901e-06   6.00315263e-04  
