Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1  
 1.00000000e-02   0.00000000e+00   1.00000000e+00   4.32199392e-05  -7.80702917e-05   6.10049802e+00  -6.48092819e+00  
 2.00000000e-02   0.00000000e+00   1.00000000e+00   2.84232818e-04  -1.32552655e-04   5.41055287e+00   1.32544945e+01  
 3.00000000e-02   0.00000000e+00   1.00000000e+00   6.44196546e-04  -1.50084415e-04   3.86288974e+00   9.53049200e+00  
 4.00000000e-02   0.00000000e+00   1.00000000e+00   1.03215095e-03  -1.65256095e-04   3.43601249e+00   8.32945201e+00  
 5.00000000e-02   0.00000000e+00   1.00000000e+00   1.41320616e-03  -1.70270455e-04   3.19484219e+00   7.69735858e+00  
 6.00000000e-02   0.00000000e+00   1.00000000e+00   1.72542468e-03  -1.67841772e-04   3.03797743e+00   7.30465855e+00  
 7.00000000e-02   0.00000000e+00   1.00000000e+00   1.95462240e-03  -1.35786252e-04   2.91987473e+00   7.01404517e+00  
 8.00000000e-02   0.00000000e+00   1.00000000e+00   2.21373524e-03  -9.43538670e-05   2.82006278e+00   6.79799855e+00  
 9.00000000e-02   0.00000000e+00   1.00000000e+00   2.88058281e-03  -6.70261160e-05   2.73123606e+00   6.61396946e+00  
 1.00000000e-01   0.00000000e+00   1.00000000e+00   4.26217960e-03  -8.79659643e-05   2.66088285e+00   6.47297535e+00  
 1.10000000e-01   0.00000000e+00   1.00000000e+00   6.21029526e-03  -1.20794532e-04   2.62354217e+00   6.34692233e+00  
 1.20000000e-01   0.00000000e+00   1.00000000e+00   8.22236412e-03  -1.40017036e-04   2.61390418e+00   6.24653619e+00  
 1.30000000e-01   0.00000000e+00   1.00000000e+00   1.01279502e-02  -1.55544175e-04   2.60840763e+00   6.15757502e+00  
 1.40000000e-01   0.00000000e+00   1.00000000e+00   1.21040486e-02  -2.06256219e-04   2.59955986e+00   6.08820776e+00  
 1.50000000e-01   0.00000000e+00   1.00000000e+00   1.41435570e-02  -2.34325214e-04   2.60766957e+00   6.02428473e+00  
 1.60000000e-01   0.00000000e+00   1.00000000e+00   1.61026354e-02  -2.06558949e-04   2.61121002e+00   5.96756545e+00  
 1.70000000e-01   0.00000000e+00   1.00000000e+00   1.81343837e-02  -1.61391513e-04   2.61010810e+00   5.92657749e+00  
 1.80000000e-01   0.00000000e+00   1.00000000e+00   2.03103548e-02  -1.46876270e-04   2.61083699e+00   5.89092797e+00  
 1.90000000e-01   0.00000000e+00   1.00000000e+00   2.24509327e-02  -1.28802441e-04   2.61872678e+00   5.85432114e+00  
 2.00000000e-01   0.00000000e+00   1.00000000e+00   2.45169982e-02  -1.09295731e-04   2.62641757e+00   5.81015335e+00  
 2.10000000e-01   0.00000000e+00   1.00000000e+00   2.66193302e-02  -1.04475988e-04   2.63406157e+00   5.77386408e+00  
 2.20000000e-01   0.00000000e+00   1.00000000e+00   2.87730104e-02  -1.22783437e-04   2.64431445e+00   5.74163886e+00  
 2.30000000e-01   0.00000000e+00   1.00000000e+00   3.09696731e-02  -1.73124518e-04   2.65977369e+00   5.71770693e+00  
 2.40000000e-01   0.00000000e+00   1.00000000e+00   3.29858518e-02  -2.23015473e-04   2.68570646e+00   5.69555150e+00  
 2.50000000e-01   0.00000000e+00   1.00000000e+00   3.44090719e-02  -2.19990352e-04   2.71743473e+00   5.66985503e+00  
 2.60000000e-01   0.00000000e+00   1.00000000e+00   3.51475276e-02  -2.08070735e-04   2.73519997e+00   5.65455271e+00  
 2.70000000e-01   0.00000000e+00   1.00000000e+00   3.54288709e-02  -2.22561809e-04   2.73189067e+00   5.63148769e+00  
 2.80000000e-01   0.00000000e+00   1.00000000e+00   3.56102549e-02  -1.99194989e-04   2.71500200e+00   5.60564372e+00  
 2.90000000e-01   0.00000000e+00   1.00000000e+00   3.59167583e-02  -1.40038126e-04   2.69814405e+00   5.57678904e+00  
 3.00000000e-01   0.00000000e+00   1.00000000e+00   3.61996927e-02  -1.09018646e-04   2.68842471e+00   5.56330654e+00  
 3.10000000e-01   0.00000000e+00   1.00000000e+00   3.63599523e-02  -1.08898057e-04   2.66725845e+00   5.53697068e+00  
 3.20000000e-01   0.00000000e+00   1.00000000e+00   3.65883279e-02  -1.31046395e-04   2.65218153e+00   5.51227368e+00  
 3.30000000e-01   0.00000000e+00   1.00000000e+00   3.69135532e-02  -1.53058540e-04   2.64181215e+00   5.48262630e+00  
 3.40000000e-01   0.00000000e+00   1.00000000e+00   3.72101432e-02  -1.70446249e-04   2.63801252e+00   5.45924687e+00  
 3.50000000e-01   0.00000000e+00   1.00000000e+00   3.74914704e-02  -2.02756133e-04   2.64472261e+00   5.44241877e+00  
 3.60000000e-01   0.00000000e+00   1.00000000e+00   3.78815081e-02  -2.40289291e-04   2.63799474e+00   5.43030946e+00  
 3.70000000e-01   0.00000000e+00   1.00000000e+00   3.82934769e-02  -2.40027045e-04   2.63683388e+00   5.42112988e+00  
 3.80000000e-01   0.00000000e+00   1.00000000e+00   3.84746057e-02  -1.97673342e-04   2.62880489e+00   5.40384792e+00  
 3.90000000e-01   0.00000000e+00   1.00000000e+00   3.85454968e-02  -1.54213451e-04   2.62052526e+00   5.39146278e+00  
 4.00000000e-01   0.00000000e+00   1.00000000e+00   3.89271842e-02  -1.50440679e-04   2.60015984e+00   5.37610177e+00  
 4.10000000e-01   0.00000000e+00   1.00000000e+00   3.98169944e-02  -1.34823937e-04   2.59425154e+00   5.36252138e+00  
 4.20000000e-01   0.00000000e+00   1.00000000e+00   4.11661828e-02  -9.88867551e-05   2.59076789e+00   5.34587006e+00  
 4.30000000e-01   0.00000000e+00   1.00000000e+00   4.27549664e-02  -1.18176843e-04   2.60255886e+00   5.34197984e+00  
 4.40000000e-01   0.00000000e+00   1.00000000e+00   4.42353703e-02  -1.63946419e-04   2.62672679e+00   5.33487936e+00  
 4.50000000e-01   0.00000000e+00   1.00000000e+00   4.54495435e-02  -2.02220389e-04   2.65063329e+00   5.32780959e+00  
 4.60000000e-01   0.00000000e+00   1.00000000e+00   4.65214085e-02  -2.28805065e-04   2.66650317e+00   5.32078451e+00  
 4.70000000e-01   0.00000000e+00   1.00000000e+00   4.75321982e-02  -2.25330471e-04   2.68292671e+00   5.31499842e+00  
 4.80000000e-01   0.00000000e+00   1.00000000e+00   4.82697941e-02  -2.17001125e-04   2.70426133e+00   5.32327994e+00  
 4.90000000e-01   0.00000000e+00   1.00000000e+00   4.86538129e-02  -2.19626026e-04   2.70730675e+00   5.32575945e+00  
 5.00000000e-01   0.00000000e+00   1.00000000e+00   4.88318265e-02  -1.79379279e-04   2.71291425e+00   5.32405620e+00  
 5.10000000e-01   0.00000000e+00   1.00000000e+00   4.88192304e-02  -1.20661578e-04   2.71558913e+00   5.31460278e+00  
 5.20000000e-01   0.00000000e+00   1.00000000e+00   4.85984083e-02  -1.07141373e-04   2.71550572e+00   5.31222205e+00  
 5.30000000e-01   0.00000000e+00   1.00000000e+00   4.83062942e-02  -1.33814037e-04   2.71029480e+00   5.30296608e+00  
 5.40000000e-01   0.00000000e+00   1.00000000e+00   4.80768364e-02  -1.49420226e-04   2.70540967e+00   5.29448682e+00  
 5.50000000e-01   0.00000000e+00   1.00000000e+00   4.78532369e-02  -1.58925924e-04   2.70873938e+00   5.29201255e+00  
 5.60000000e-01   0.00000000e+00   1.00000000e+00   4.72510749e-02  -1.95662312e-04   2.72258748e+00   5.29451155e+00  
 5.70000000e-01   0.00000000e+00   1.00000000e+00   4.59667789e-02  -2.33887912e-04   2.73364660e+00   5.29454866e+00  
 5.80000000e-01   0.00000000e+00   1.00000000e+00   4.42370961e-02  -2.45807705e-04   2.72557322e+00   5.28553136e+00  
 5.90000000e-01   0.00000000e+00   1.00000000e+00   4.24739743e-02  -2.21524037e-04   2.70263545e+00   5.28319300e+00  
 6.00000000e-01   0.00000000e+00   1.00000000e+00   4.07796933e-02  -1.76803783e-04   2.67990409e+00   5.27567320e+00  
 6.10000000e-01   0.00000000e+00   1.00000000e+00   3.91743026e-02  -1.51532108e-04   2.65802240e+00   5.27623720e+00  
 6.20000000e-01   0.00000000e+00   1.00000000e+00   3.77347695e-02  -1.39367935e-04   2.63726330e+00   5.26986503e+00  
 6.30000000e-01   0.00000000e+00   1.00000000e+00   3.63906777e-02  -1.20044485e-04   2.62034182e+00   5.26487352e+00  
 6.40000000e-01   0.00000000e+00   1.00000000e+00   3.52213143e-02  -9.83295033e-05   2.60256780e+00   5.24879737e+00  
 6.50000000e-01   0.00000000e+00   1.00000000e+00   3.44006176e-02  -1.30824587e-04   2.58589122e+00   5.24336895e+00  
 6.60000000e-01   0.00000000e+00   1.00000000e+00   3.38279085e-02  -1.96367056e-04   2.57982241e+00   5.23935270e+00  
 6.70000000e-01   0.00000000e+00   1.00000000e+00   3.33057267e-02  -2.12001606e-04   2.58390176e+00   5.23748386e+00  
 6.80000000e-01   0.00000000e+00   1.00000000e+00   3.27954096e-02  -2.11916221e-04   2.58782850e+00   5.24271215e+00  
 6.90000000e-01   0.00000000e+00   1.00000000e+00   3.22145116e-02  -2.26647518e-04   2.59310308e+00   5.24667040e+00  
 7.00000000e-01   0.00000000e+00   1.00000000e+00   3.14219038e-02  -2.13568731e-04   2.59989168e+00   5.24851798e+00  
 7.10000000e-01   0.00000000e+00   1.00000000e+00   3.04937441e-02  -1.89983230e-04   2.60870835e+00   5.24543409e+00  
 7.20000000e-01   0.00000000e+00   1.00000000e+00   2.98345578e-02  -1.45173034e-04   2.58307352e+00   5.24389893e+00  
 7.30000000e-01   0.00000000e+00   1.00000000e+00   2.96637598e-02  -1.00462286e-04   2.57140346e+00   5.24158944e+00  
 7.40000000e-01   0.00000000e+00   1.00000000e+00   2.96559584e-02  -1.11552647e-04   2.57835599e+00   5.24828031e+00  
 7.50000000e-01   0.00000000e+00   1.00000000e+00   2.94184448e-02  -1.40956702e-04   2.59669649e+00   5.24756986e+00  
 7.60000000e-01   0.00000000e+00   1.00000000e+00   2.89256127e-02  -1.50998839e-04   2.61164961e+00   5.24230289e+00  
 7.70000000e-01   0.00000000e+00   1.00000000e+00   2.82394068e-02  -1.66757043e-04   2.62212603e+00   5.24410147e+00  
 7.80000000e-01   0.00000000e+00   1.00000000e+00   2.73449184e-02  -2.13486716e-04   2.63039289e+00   5.24677901e+00  
 7.90000000e-01   0.00000000e+00   1.00000000e+00   2.61679984e-02  -2.48816144e-04   2.63982338e+00   5.25255836e+00  
 8.00000000e-01   0.00000000e+00   1.00000000e+00   2.45978145e-02  -2.28687818e-04   2.64826312e+00   5.25283721e+00  
 8.10000000e-01   0.00000000e+00   1.00000000e+00   2.26574614e-02  -1.87848852e-04   2.64722121e+00   5.26195531e+00  
 8.20000000e-01   0.00000000e+00   1.00000000e+00   2.04444016e-02  -1.63176610e-04   2.63700322e+00   5.25967565e+00  
 8.30000000e-01   0.00000000e+00   1.00000000e+00   1.80636124e-02  -1.44638602e-04   2.62018345e+00   5.25273511e+00  
 8.40000000e-01   0.00000000e+00   1.00000000e+00   1.57548167e-02  -1.18003212e-04   2.59804114e+00   5.23982782e+00  
 8.50000000e-01   0.00000000e+00   1.00000000e+00   1.36748205e-02  -1.05637818e-04   2.57514483e+00   5.23522945e+00  
 8.60000000e-01   0.00000000e+00   1.00000000e+00   1.17530006e-02  -1.08137773e-04   2.55942955e+00   5.22973073e+00  
 8.70000000e-01   0.00000000e+00   1.00000000e+00   9.88523168e-03  -1.54645220e-04   2.54980945e+00   5.22619736e+00  
 8.80000000e-01   0.00000000e+00   1.00000000e+00   7.85348769e-03  -2.09024605e-04   2.54827448e+00   5.22331540e+00  
 8.90000000e-01   0.00000000e+00   1.00000000e+00   5.45382087e-03  -2.09583928e-04   2.54942707e+00   5.21297616e+00  
 9.00000000e-01   0.00000000e+00   1.00000000e+00   2.95482483e-03  -2.01657427e-04   2.53435711e+00   5.21153551e+00  
 9.10000000e-01   0.00000000e+00   1.00000000e+00   8.05552999e-04  -2.19080036e-04   2.50614725e+00   5.20764456e+00  
 9.20000000e-01   0.00000000e+00   1.00000000e+00  -1.00328438e-03  -2.01787763e-04   2.48532762e+00   5.20777987e+00  
 9.30000000e-01   0.00000000e+00   1.00000000e+00  -2.75314575e-03  -1.47147400e-04   2.47674680e+00   5.19944424e+00  
